MAGNITUDE,DEPTH,REGION,DISTANCE,TSUNAMI
7.5,20,0,118.65,1
7.5,40,0,20.2884,1
7.5,30,0,44.7581,1
7.5,33,0,65.2132,1
7.5,33,0,83.641,1
7.5,43,1,-36.2997,1
7.5,33,0,12.3941,1
7.5,5,1,-62.3712,1
7.5,33,0,29.1178,1
7.5,33,0,203.007,1
7.5,11,0,188.36,1
7.5,71,0,29.6503,1
7.5,10,0,115.398,1
7.5,33,0,246.68,1
7.5,33,0,1.59019,1
7.5,31,0,13.05,1
7.5,24,0,14.0932,1
7.5,10,0,3.51317,1
7.5,81,0,29.1633,1
7.5,35,0,133.705,1
7.5,32,0,110.885,1
7.5,10,0,53.4026,1
7.5,31,0,30.5965,1
7.5,40,0,18.4863,1
7.5,80,1,-65.3277,1
7.5,130,0,36.5795,1
7.5,33,1,-81.9698,1
7.5,60,1,-14.3551,1
7.5,33,1,-62.1882,1
7.5,5,0,37.6893,1
7.5,42,1,-7.61766,1
7.6,12,0,34.318,1
7.6,50,0,144.597,1
7.6,60,0,89.7753,1
7.6,35,0,47.179,1
7.6,30,0,60.7441,1
7.6,55,0,19.3138,1
7.6,60,0,48.3422,1
7.6,74,0,33.2079,1
7.6,6,0,4.40752,1
7.6,20,0,144.51,1
7.6,25,0,17.6752,1
7.6,73,0,35.9123,1
7.6,50,0,63.4843,1
7.6,33,0,192.199,1
7.6,19,0,7.23067,1
7.6,33,0,107.669,1
7.6,49,1,-34.2963,1
7.6,33,0,183.572,1
7.6,31,1,-8.38585,1
7.6,62,1,-36.6786,1
7.6,36,0,39.7666,1
7.6,10,1,-20.8375,1
7.6,13,1,-3.76753,1
7.6,26,0,19.6568,1
7.6,13,0,4.96036,1
7.6,17,0,1.66406,1
7.6,34,0,177.104,1
7.6,45,0,7.0818,1
7.6,17,0,151.983,1
7.6,28,0,72.046,1
7.6,35,1,-6.66338,1
7.6,40,1,-3.23282,1
7.6,29,0,50.0022,1
7.6,35,1,-1.49389,1
7.6,25,1,-18.2447,1
7.6,45,1,-16.9251,1
7.6,48,0,52.574,1
7.7,20,0,20.7382,1
7.7,60,0,7.41293,1
7.7,35,1,-19.9213,1
7.7,60,0,24.6919,1
7.7,40,0,52.5948,1
7.7,30,0,61.9463,1
7.7,35,1,-133.243,1
7.7,33,1,-75.5987,1
7.7,51,0,15.8423,1
7.7,48,0,13.9069,1
7.7,33,0,341.832,1
7.7,44,0,40.0841,1
7.7,24,0,32.8396,1
7.7,25,0,115.582,1
7.7,15,1,-10.9111,1
7.7,10,0,53.2586,1
7.7,40,0,78.372,1
7.7,17,0,59.3698,1
7.7,20,0,110.045,1
7.7,30,0,57.0361,1
7.7,33,0,15.6242,1
7.7,33,0,55.9098,1
7.7,167,0,63.0675,1
7.7,34,0,174.493,1
7.7,40,1,-34.1511,1
7.7,14,1,-0.119586,1
7.7,60,0,16.4015,1
7.7,60,0,16.6957,1
7.8,60,0,114.775,1
7.8,33,0,188.275,1
7.8,33,0,31.4474,1
7.8,50,0,197.572,1
7.8,35,0,65.6118,1
7.8,33,0,89.945,1
7.8,25,0,117.567,1
7.8,20,1,-1.44951,1
7.8,47,0,6.08263,1
7.8,83,0,45.2131,1
7.8,23,1,-1.63162,1
7.8,22,0,206.658,1
7.8,58,1,-23.2255,1
7.8,33,0,13.4398,1
7.8,33,0,138.884,1
7.8,24,0,66.6121,1
7.8,29,0,192.831,1
7.8,34,1,-1.68125,1
7.8,15,0,296.068,1
7.8,28,0,3.56105,1
7.8,59,0,30.9641,1
7.8,18,0,221.256,1
7.8,27,0,138.365,1
7.8,33,1,-5.05323,1
7.8,33,0,44.6095,1
7.8,153,0,363.306,1
7.8,12,1,-0.0849733,1
7.8,31,0,17.9201,1
7.8,20,0,34.2136,1
7.8,10,0,24.6816,1
7.8,24,0,623.591,1
7.8,21,1,-5.83165,1
7.8,41,0,19.3544,1
7.8,35,0,63.517,1
7.8,35,0,84.1496,1
7.8,35,0,23.9359,1
7.8,30,1,-106.18,1
7.9,33,0,130.702,1
7.9,33,0,10.655,1
7.9,54,1,-76.5069,1
7.9,55,0,139.892,1
7.9,15,0,18.5974,1
7.9,25,0,11.5895,1
7.9,28,0,118.13,1
7.9,43,0,17.702,1
7.9,47,0,73.4014,1
