MAGNITUDE,DEPTH,REGION,DISTANCE,CLASS
7.1,20,0,0,1
6.5,20,0,0,1
8.2,25,0,0,1
6,60,0,0,1
6.9,30,0,0,1
6.9,10,0,0,1
7,50,0,0,1
7.7,35,0,0,1
6.6,20,0,0,1
7.9,35,0,0,1
6.5,110,0,0,1
6.5,16,0,0,1
6.4,13,0,0,1
8,150,0,0,1
7.5,10,0,0,1
7.3,75,0,0,1
7,33,0,0,1
7.4,15,0,0,1
7.6,55,0,0,1
7.4,10,0,0,1
8.2,35,0,0,1
7.1,20,0,0,1
8.1,30,0,0,1
7.1,33,0,0,1
7.3,20,0,0,1
7.9,15,0,0,1
7.5,15,0,0,1
7,40,0,0,1
8.1,20,0,0,1
6.9,12,0,0,1
7,33,0,0,1
7.2,40,0,0,1
6.5,15,0,0,1
7.8,33,0,0,1
5.9,150,0,0,1
7.3,70,0,0,1
6.7,50,0,0,1
7.5,60,0,0,1
7.8,33,0,0,1
7.8,33,0,0,1
7.3,33,0,0,1
7,80,0,0,1
6.9,12,0,0,1
7.3,21,0,0,1
8.1,45,0,0,1
7,20,0,0,1
4.5,33,0,0,1
7.8,25,0,0,1
6.8,260,0,0,1
9,22,0,0,1
7.4,60,0,0,1
7.4,30,0,0,1
6.1,30,0,0,1
7.1,30,0,0,1
6.5,33,0,0,1
6.3,20,0,0,1
6.5,50,0,0,1
7,33,0,0,1
8.6,33,0,0,1
7.3,33,0,0,1
7.9,25,0,0,1
7,33,0,0,1
7.6,60,0,0,1
5,40,0,0,1
8.3,40,0,0,1
7,29,0,0,1
6.8,40,0,0,1
7.4,19,0,0,1
5,40,0,0,1
8.2,60,0,0,1
7.3,33,0,0,1
6.7,10,0,0,1
7.5,20,0,0,1
6.7,20,0,0,1
6.6,33,0,0,1
6.7,30,0,0,1
7.4,55,0,0,1
6.8,93,0,0,1
6.8,40,0,0,1
6.4,20,0,0,1
6.5,20,0,0,1
6.6,80,0,0,1
7.6,74,0,0,1
6.6,60,0,0,1
7.3,45,0,0,1
7,80,0,0,1
6.5,15,0,0,1
6.9,60,0,0,1
6.8,35,0,0,1
7.2,25,0,0,1
7,60,0,0,1
5.7,60,0,0,1
6.5,33,0,0,1
7.3,47,0,0,1
7,75,0,0,1
7.1,48,0,0,1
8.5,13,0,0,1
7.9,28,0,0,1
6.6,64,0,0,1
7.2,46,0,0,1
6.9,30,0,0,1
7.5,40,0,0,1
6.8,15,0,0,1
6.3,40,0,0,1
7.6,6,0,0,1
8.7,36,0,0,1
6.3,18,0,0,1
7.6,20,0,0,1
6.5,40,0,0,1
7,13,0,0,1
7.3,33,0,0,1
6.5,28,0,0,1
7.6,48,0,0,1
7.1,31,0,0,1
8.1,38,0,0,1
7.8,47,0,0,1
7.8,83,0,0,1
7.2,23,0,0,1
7,38,0,0,1
5.5,33,0,0,1
6.1,100,0,0,1
6.5,10,0,0,1
6.4,30,0,0,1
7,40,0,0,1
7.3,40,0,0,1
7.2,15,0,0,1
7.5,30,0,0,1
8.2,7,0,0,1
7.5,33,0,0,1
7.2,44,0,0,1
7.3,60,0,0,1
6.5,10,0,0,1
7.6,25,0,0,1
6.6,38,0,0,1
6.2,107,0,0,1
7.8,22,0,0,1
6.5,41,0,0,1
8.2,30,0,0,1
7.7,51,0,0,1
7.2,7,0,0,1
7.6,73,0,0,1
7.3,40,0,0,1
7.9,43,0,0,1
6.4,44,0,0,1
7,34,0,0,1
5.3,33,0,0,1
5.1,7,0,0,1
7.1,30,0,0,1
7.9,47,0,0,1
7.9,48,0,0,1
7.3,51,0,0,1
7.1,9,0,0,1
5.5,29,0,0,1
6.6,6,0,0,1
6.2,16,0,0,1
6,21,0,0,1
5.7,21,0,0,1
7.8,33,0,0,1
7.5,33,0,0,1
7.4,56,0,0,1
6.6,39,0,0,1
7.1,10,0,0,1
5.2,15,0,0,1
7.4,33,0,0,1
7.4,66,0,0,1
7.2,27,0,0,1
7.5,33,0,0,1
7.7,48,0,0,1
7.1,50,0,0,1
6.7,14,0,0,1
7,34,0,0,1
7.1,40,0,0,1
6.7,2,0,0,1
6.7,43,0,0,1
8.1,13,0,0,1
5.9,33,0,0,1
6.9,4,0,0,1
7.7,33,0,0,1
7,15,0,0,1
7.9,49,0,0,1
7.6,50,0,0,1
7.8,33,0,0,1
8,33,0,0,1
7,41,0,0,1
8,33,0,0,1
7.6,33,0,0,1
6.8,33,0,0,1
7.6,19,0,0,1
8.1,33,0,0,1
7.2,65,0,0,1
8,33,0,0,1
5.5,33,0,0,1
7.2,33,0,0,1
6.7,33,0,0,1
6.6,33,0,0,1
6.8,46,0,0,1
7.5,33,0,0,1
7.6,33,0,0,1
7.7,44,0,0,1
6.9,24,0,0,1
7.4,17,0,0,1
4.4,30,0,0,1
6.4,10,0,0,1
5.3,10,0,0,1
5.6,33,0,0,1
6.9,33,0,0,1
7.7,24,0,0,1
7.2,10,0,0,1
7,44,0,0,1
6.2,15,0,0,1
7.9,33,0,0,1
7.6,33,0,0,1
7.7,25,0,0,1
6.6,33,0,0,1
6.9,44,0,0,1
7.2,37,0,0,1
7.5,33,0,0,1
